Country.Code,Short.Name,Table.Name,Long.Name,2-alpha.code,Currency.Unit,Special.Notes,Region,Income.Group,WB-2.code,National.accounts.base.year,National.accounts.reference.year,SNA.price.valuation,Lending.category,Other.groups,System.of.National.Accounts,Alternative.conversion.factor,PPP.survey.year,Balance.of.Payments.Manual.in.use,External.debt.Reporting.status,System.of.trade,Government.Accounting.concept,IMF.data.dissemination.standard,Latest.population.census,Latest.household.survey,Source.of.most.recent.Income.and.expenditure.data,Vital.registration.complete,Latest.agricultural.census,Latest.industrial.data,Latest.trade.data,Latest.water.withdrawal.data
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,Uruguayan peso,"In 2011, the Central Bank revised national accounts data for 2006 onward.",Latin America & Caribbean,High income,UY,2005,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2014",Yes,2011,2010,2014,2000
USA,United States,United States,United States of America,US,U.S. dollar,Fiscal year end: September 30; reporting period for national accounts data: CY.,North America,High income,US,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS+),2010,,"Labor force survey (LFS), 2013",Yes,2012,2008,2014,2005
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek sum,,Europe & Central Asia,Lower middle income,UZ,Original chained constant price data are rescaled.,1997,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1990–95,,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,,1989,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2011",Yes,,,,2005
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",Latin America & Caribbean,Upper middle income,VC,2006,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,,,Yes,,,2012,2013
VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,VE,Venezuelan bolivar fuerte,,Latin America & Caribbean,Upper middle income,VE,1997,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey, 2000","Integrated household survey (IHS), 2013",Yes,2008,,2013,2007
VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands,VG,U. S. dollar,,Latin America & Caribbean,High income,VG,,,,,,,,,,,,,,,,,,,,,
VIR,Virgin Islands,Virgin Islands (U.S.),Virgin Islands of the United States,VI,U.S. dollar,,Latin America & Caribbean,High income,VI,1982,,,,,Country uses the 1968 System of National Accounts methodology.,,,,,General trade system,,,2010,,,Yes,2012,,,
VNM,Vietnam,Vietnam,Socialist Republic of Vietnam,VN,Vietnamese dong,National accounts value added data are now reported at basic prices.,East Asia & Pacific,Lower middle income,VN,2010,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,1991,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey, 2013/14","Integrated household survey (IHS), 2014",Yes,2011,2012,2014,2005
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,VU,Vanuatu vatu,"2013 national accounts estimates are based on IMF reports. Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",East Asia & Pacific,Lower middle income,VU,2006,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Multiple Indicator Cluster Survey, 2007/08","Integrated household survey (IHS), 2010",,2007,,2011,
WBG,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,Israeli new shekel,The new base year is 2004.,Middle East & North Africa,Lower middle income,GZ,2004,,Value added at basic prices (VAB),,,Country uses the 1968 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",,,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2011",,2010,2010,2014,2005
WLD,World,World,World,1W,,World aggregate.,,,1W,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,Samoa,Samoa,WS,Samoan tala,"Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The new base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.",East Asia & Pacific,Lower middle income,WS,2008/09,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology.,,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey, 2009",,,2009,,2014,
YEM,Yemen,"Yemen, Rep.",Republic of Yemen,YE,Yemeni rial,"Based on official government statistics and International Monetary Fund data, national accounts data have been revised for 1990 onward. The new base year is 2007.",Middle East & North Africa,Lower middle income,RY,2007,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology.,1990–96,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey, 2013","Expenditure survey/budget survey (ES/BS), 2005",,,2009,2014,2005
ZAF,South Africa,South Africa,Republic of South Africa,ZA,South African rand,Fiscal year end: March 31; reporting period for national accounts data: CY. The new base year is 2010. South Africa reports using SNA 2008.,Sub-Saharan Africa,Upper middle income,ZA,2010,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology.,,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey, 2003; World Health Survey, 2003","Expenditure survey/budget survey (ES/BS), 2010/11",,2007,2010,2014,2000
ZAR,Dem. Rep. Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,CD,Congolese franc,Based on official government statistics; the new base year 2005.,Sub-Saharan Africa,Low income,ZR,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,1999–2001,2011,"IMF Balance of Payments Manual, 6th edition.",Preliminary,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),1984,"Demographic and Health Survey, 2013/14","1-2-3 survey (1-2-3), 2012/13",,,,,2005
ZMB,Zambia,Zambia,Republic of Zambia,ZM,New Zambian kwacha,"The new base year is 2010. National accounts data were rebased to reflect the January 1, 2013, introduction of the new Zambian kwacha at a rate of 1,000 old kwacha = 1 new kwacha. Zambia reports using SNA 2008.",Sub-Saharan Africa,Lower middle income,ZM,2010,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology.,1990–92,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Demographic and Health Survey, 2013/14","Integrated household survey (IHS), 2010",,,,2014,2002
ZWE,Zimbabwe,Zimbabwe,Republic of Zimbabwe,ZW,U.S. dollar,"Fiscal year end: June 30; reporting period for national accounts data: CY. As of January 2009, multiple hard currencies, such as rand, pound sterling, euro and U.S. dollar are in use. Data are reported in U.S. dollars, the most-used currency.",Sub-Saharan Africa,Low income,ZW,2009,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology.,"1991, 1998",2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey, 2015","Integrated household survey (IHS), 2011/12",,,,2014,2002
